"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-03-31,"63141","MO","St. Louis","Saint Louis","Creve Coeur",5341,2308,0.0039147455415398,0.00347826086956522,-0.0207891387356809,7715
2016-03-31,"30504","GA","Gainesville","Hall","Gainesville",5342,1142,0,0.00972590627763042,0.0457875457875458,5449
2016-03-31,"11701","NY","New York","Suffolk","Amityville",5343,3275,0.116223585548739,0.114324600204151,0.274815103152978,6337
2016-03-31,"48420","MI","Flint","Genesee","Vienna Township",5344,817,0.0199750312109863,0.122252747252747,0.0937081659973226,7946
2016-03-31,"27537","NC","Henderson","Vance","Henderson",5345,1015,0.00296442687747036,0.0039564787339268,0.0367722165474974,2847
2016-03-31,"91202","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Glendale",5346,2888,0.0112044817927171,0.0233876683203402,0.0700259355316784,5288
2016-03-31,"97140","OR","Portland","Washington","Sherwood",5347,1896,0.014446227929374,0.014446227929374,0.102325581395349,7440
2016-03-31,"11720","NY","New York","Suffolk","Centereach",5348,2602,0.00385802469135802,0.02360346184107,0.0796680497925311,8153
2016-03-31,"79072","TX","Plainview","Hale","Plainview",5349,1030,-0.00579150579150579,-0.0134099616858238,0.0729166666666667,7876
2016-03-31,"19977","DE","Dover","Kent","Smyrna",5350,1357,0.00593031875463306,0.0126865671641791,0.0126865671641791,6724
2016-03-31,"11419","NY","New York","Queens","New York",5351,2132,0.00376647834274953,0.0133079847908745,0.0849872773536895,7853
2016-03-31,"17015","PA","Harrisburg","Cumberland","South Middleton",5352,1455,-0.00137268359643102,-0.0287049399198932,0.0118219749652295,7177
2016-03-31,"44320","OH","Akron","Summit","Akron",5353,701,0.00718390804597701,0.0174165457184325,0.03240058910162,7884
2016-03-31,"60803","IL","Chicago","Cook","Alsip",5354,1477,0.00887978142076503,0.0137268359643102,0.041607898448519,7004
2016-03-31,"40215","KY","Louisville/Jefferson County","Jefferson","Louisville",5355,754,0.00399467376830892,0.00533333333333333,-0.00789473684210526,7496
